feature,support,ranking
assists,False,29
boosts,False,5
damageDealt,False,37
DBNOs,False,32
headshotKills,False,43
heals,False,41
killPlace,True,1
killPoints,False,25
kills,True,1
killStreaks,False,22
longestKill,False,10
matchDuration,True,1
maxPlace,False,2
numGroups,True,1
rankPoints,False,48
revives,False,39
rideDistance,False,8
roadKills,False,45
swimDistance,False,18
teamKills,False,33
vehicleDestroys,False,40
walkDistance,True,1
weaponsAcquired,False,23
winPoints,False,24
playersJoined,True,1
killsNorm,True,1
damageDealtNorm,False,34
healsAndBoosts,False,35
totalDistance,True,1
boostsPerWalkDistance,False,6
healsPerWalkDistance,False,38
healsAndBoostsPerWalkDistance,False,31
killsPerWalkDistance,True,1
assists_mean_rank,True,1
boosts_mean_rank,True,1
damageDealt_mean_rank,False,4
DBNOs_mean_rank,True,1
headshotKills_mean_rank,False,17
heals_mean_rank,False,36
killPlace_mean_rank,True,1
killPoints_mean_rank,False,13
kills_mean_rank,True,1
killStreaks_mean_rank,True,1
longestKill_mean_rank,False,16
matchDuration_mean_rank,False,42
maxPlace_mean_rank,False,46
numGroups_mean_rank,False,47
rankPoints_mean_rank,False,11
revives_mean_rank,False,3
rideDistance_mean_rank,False,26
roadKills_mean_rank,False,14
swimDistance_mean_rank,False,28
teamKills_mean_rank,False,27
vehicleDestroys_mean_rank,False,30
walkDistance_mean_rank,True,1
weaponsAcquired_mean_rank,True,1
winPoints_mean_rank,False,7
playersJoined_mean_rank,False,44
killsNorm_mean_rank,False,15
damageDealtNorm_mean_rank,False,19
healsAndBoosts_mean_rank,True,1
totalDistance_mean_rank,True,1
boostsPerWalkDistance_mean_rank,False,20
healsPerWalkDistance_mean_rank,False,9
healsAndBoostsPerWalkDistance_mean_rank,False,21
killsPerWalkDistance_mean_rank,True,1
team,False,12
